order_id,order_date,region,channel,category,product,units,unit_price_usd,discount_rate,net_sales_usd,cogs_usd,gross_profit_usd,returned
NG-00001,2024-01-01,North,Retail,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00002,2024-01-01,West,Retail,Home Office,Desk Lamp,1,58,0.05,55.1,28,27.1,False
NG-00003,2024-01-01,West,Retail,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00004,2024-01-02,South,Retail,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00005,2024-01-02,North,Online,Living,Accent Cushion,1,46,0.1,41.4,20,21.4,False
NG-00006,2024-01-02,North,Retail,Living,Linen Throw,1,96,0.05,91.2,49,42.2,False
NG-00007,2024-01-03,West,Retail,Home Office,Monitor Riser,1,72,0.1,64.8,33,31.8,False
NG-00008,2024-01-03,East,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00009,2024-01-04,North,Retail,Kitchen,Pour Over Kit,2,79,0,158,76,82,False
NG-00010,2024-01-04,West,Online,Home Office,Ergonomic Chair,1,245,0,245,144,101,False
NG-00011,2024-01-04,North,Online,Kitchen,Ceramic Dinner Set,1,112,0.2,0,0,0,True
NG-00012,2024-01-04,East,Retail,Everyday,Travel Backpack,1,129,0,129,68,61,False
NG-00013,2024-01-05,South,Retail,Everyday,Insulated Bottle,2,42,0,84,36,48,False
NG-00014,2024-01-05,East,Retail,Kitchen,Cast Iron Pan,1,135,0.1,121.5,80,41.5,False
NG-00015,2024-01-06,North,Online,Kitchen,Ceramic Dinner Set,3,112,0.05,319.2,171,148.2,False
NG-00016,2024-01-06,West,Online,Kitchen,Cast Iron Pan,3,135,0.15,344.25,240,104.25,False
NG-00017,2024-01-06,West,Retail,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00018,2024-01-06,East,Retail,Everyday,Insulated Bottle,3,42,0,126,54,72,False
NG-00019,2024-01-06,West,Online,Living,Accent Cushion,1,46,0.05,43.7,20,23.7,False
NG-00020,2024-01-07,South,Online,Home Office,Desk Lamp,1,58,0.1,52.2,28,24.2,False
NG-00021,2024-01-07,South,Retail,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00022,2024-01-07,South,Online,Everyday,Canvas Tote,3,32,0.05,91.2,36,55.2,False
NG-00023,2024-01-08,South,Marketplace,Living,Accent Cushion,1,46,0.15,39.1,20,19.1,False
NG-00024,2024-01-09,North,Online,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00025,2024-01-10,West,Retail,Everyday,Insulated Bottle,1,42,0,42,18,24,False
NG-00026,2024-01-10,West,Online,Home Office,Ergonomic Chair,2,245,0.05,0,0,0,True
NG-00027,2024-01-11,East,Retail,Everyday,Travel Backpack,1,129,0.05,122.55,68,54.55,False
NG-00028,2024-01-11,North,Online,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00029,2024-01-11,South,Marketplace,Kitchen,Ceramic Dinner Set,1,112,0.05,106.4,57,49.4,False
NG-00030,2024-01-11,South,Retail,Kitchen,Cast Iron Pan,1,135,0.05,128.25,80,48.25,False
NG-00031,2024-01-11,West,Online,Living,Accent Cushion,1,46,0,46,20,26,False
NG-00032,2024-01-11,West,Retail,Kitchen,Pour Over Kit,1,79,0.05,75.05,38,37.05,False
NG-00033,2024-01-12,East,Marketplace,Living,Oak Side Table,2,189,0.2,302.4,224,78.4,False
NG-00034,2024-01-12,East,Retail,Kitchen,Cast Iron Pan,1,135,0,135,80,55,False
NG-00035,2024-01-12,North,Retail,Kitchen,Pour Over Kit,1,79,0.15,67.15,38,29.15,False
NG-00036,2024-01-13,North,Online,Home Office,Ergonomic Chair,4,245,0.1,882.0,576,306.0,False
NG-00037,2024-01-14,East,Online,Everyday,Canvas Tote,2,32,0,64,24,40,False
NG-00038,2024-01-14,South,Retail,Living,Linen Throw,2,96,0,192,98,94,False
NG-00039,2024-01-15,South,Online,Home Office,Ergonomic Chair,1,245,0.2,196.0,144,52.0,False
NG-00040,2024-01-15,East,Retail,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00041,2024-01-15,South,Marketplace,Everyday,Insulated Bottle,1,42,0.05,39.9,18,21.9,False
NG-00042,2024-01-15,West,Online,Everyday,Insulated Bottle,2,42,0,84,36,48,False
NG-00043,2024-01-15,North,Retail,Everyday,Insulated Bottle,2,42,0,84,36,48,False
NG-00044,2024-01-16,North,Marketplace,Home Office,Monitor Riser,3,72,0.05,0,0,0,True
NG-00045,2024-01-16,South,Retail,Kitchen,Ceramic Dinner Set,2,112,0.1,201.6,114,87.6,False
NG-00046,2024-01-16,East,Retail,Home Office,Monitor Riser,1,72,0,72,33,39,False
NG-00047,2024-01-16,East,Online,Living,Oak Side Table,1,189,0.2,151.2,112,39.2,False
NG-00048,2024-01-17,South,Online,Everyday,Canvas Tote,1,32,0,32,12,20,False
NG-00049,2024-01-17,West,Online,Everyday,Insulated Bottle,1,42,0.05,0,0,0,True
NG-00050,2024-01-17,North,Marketplace,Everyday,Insulated Bottle,2,42,0.05,79.8,36,43.8,False
NG-00051,2024-01-17,South,Online,Home Office,Desk Lamp,1,58,0,58,28,30,False
NG-00052,2024-01-18,West,Online,Living,Linen Throw,1,96,0,96,49,47,False
NG-00053,2024-01-19,East,Marketplace,Home Office,Monitor Riser,1,72,0.05,68.4,33,35.4,False
